id_conexion,segmento_origen,segmento_destino,puerto,protocolo,volumen_mb_sesion,frecuencia_dia,hora_predominante,duracion_seg,servicio_negocio,etiqueta_real,destino_externo,puerto_no_estandar
CX311,SEG_DMZ,SEG_SERVIDORES,443,tcp,53.6,75.3,17.4,122.6,retorno de servicios,benigna,0,0
CX334,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,60.6,130.4,10.7,40.6,portal interno,benigna,0,0
CX464,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,52.3,18.1,14.1,104.5,administración remota,benigna,0,0
CX027,SEG_DMZ,EXTERNO,443,tcp,8.7,86.5,9.9,57.7,servicios publicados,benigna,1,0
CX491,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,7.3,42.5,10.5,141.8,administración remota,benigna,0,0
CX295,SEG_DMZ,SEG_SERVIDORES,443,tcp,92.8,53.1,10.6,119.2,retorno de servicios,benigna,0,0
CX331,SEG_ADMIN,SEG_BASES,22,tcp,12.8,72.9,14.4,97.5,mantenimiento de base de datos,benigna,0,0
CX159,SEG_SERVIDORES,SEG_DMZ,443,tcp,75.9,34.3,19.1,102.7,publicación de servicios,benigna,0,0
CX549,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,41.0,54.6,9.3,128.4,intranet,benigna,0,0
CX330,SEG_SERVIDORES,SEG_BASES,1433,tcp,11.7,13.8,13.6,50.9,consulta de base de datos,benigna,0,0
CX352,SEG_ADMIN,SEG_BASES,22,tcp,74.7,67.5,15.6,107.9,mantenimiento de base de datos,benigna,0,0
CX199,SEG_DMZ,SEG_SERVIDORES,443,tcp,99.7,96.9,11.2,56.0,retorno de servicios,benigna,0,0
CX560,SEG_ADMIN,SEG_BASES,22,tcp,51.9,37.7,9.1,219.0,mantenimiento de base de datos,benigna,0,0
CX355,SEG_SERVIDORES,SEG_BASES,1433,tcp,66.2,76.0,14.2,147.9,consulta de base de datos,benigna,0,0
CX251,SEG_USUARIOS,EXTERNO,443,tcp,28.8,60.7,12.6,65.6,navegación web,benigna,1,0
CX154,SEG_ADMIN,SEG_BASES,22,tcp,11.6,91.9,15.1,49.7,mantenimiento de base de datos,benigna,0,0
CX034,SEG_ADMIN,SEG_BASES,22,tcp,81.2,116.8,12.2,133.3,mantenimiento de base de datos,benigna,0,0
CX230,SEG_SERVIDORES,SEG_DMZ,443,tcp,46.1,36.7,12.8,200.7,publicación de servicios,benigna,0,0
CX278,SEG_SERVIDORES,EXTERNO,25,tcp,60.9,85.4,9.0,153.9,correo saliente,benigna,1,0
CX097,SEG_SERVIDORES,SEG_BASES,1433,tcp,41.8,22.1,15.2,64.9,consulta de base de datos,benigna,0,0
CX326,SEG_BASES,SEG_SERVIDORES,1433,tcp,47.6,98.8,14.6,110.7,respuesta de base de datos,benigna,0,0
CX281,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,47.3,99.9,10.8,112.5,portal interno,benigna,0,0
CX390,SEG_SERVIDORES,SEG_DMZ,443,tcp,95.2,92.6,12.3,79.6,publicación de servicios,benigna,0,0
CX275,SEG_SERVIDORES,SEG_DMZ,443,tcp,4.6,55.0,13.6,139.7,publicación de servicios,benigna,0,0
CX224,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,79.7,141.7,9.9,86.3,administración remota,benigna,0,0
CX353,SEG_SERVIDORES,SEG_BASES,1433,tcp,85.6,62.6,11.9,51.7,consulta de base de datos,benigna,0,0
CX408,SEG_DMZ,EXTERNO,443,tcp,12.8,44.1,8.0,208.1,servicios publicados,benigna,1,0
CX345,SEG_USUARIOS,SEG_DMZ,443,tcp,44.5,79.5,15.2,44.1,correo web,benigna,0,0
CX172,SEG_ADMIN,SEG_BASES,22,tcp,59.8,61.7,12.5,97.3,mantenimiento de base de datos,benigna,0,0
CX219,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,77.8,63.8,7.2,93.5,portal interno,benigna,0,0
CX517,SEG_PAGOS,SEG_SERVIDORES,443,tcp,3.4,138.5,13.9,80.3,conciliación de pagos,benigna,0,0
CX586,SEG_SERVIDORES,EXTERNO,5353,udp,1.2,640.0,23.4,3.0,sin servicio asociado,maliciosa,1,1
CX377,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,58.4,32.1,16.1,16.7,portal interno,benigna,0,0
CX321,SEG_PAGOS,SEG_SERVIDORES,443,tcp,51.4,89.5,8.6,143.1,conciliación de pagos,benigna,0,0
CX285,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,51.8,41.0,10.9,75.0,portal interno,benigna,0,0
CX306,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,69.9,47.1,8.0,40.8,portal interno,benigna,0,0
CX105,SEG_DMZ,SEG_SERVIDORES,443,tcp,24.5,62.3,13.9,71.5,retorno de servicios,benigna,0,0
CX050,SEG_SERVIDORES,SEG_DMZ,443,tcp,18.0,68.8,13.9,57.4,publicación de servicios,benigna,0,0
CX273,SEG_SERVIDORES,SEG_BASES,1433,tcp,32.5,41.0,10.8,115.5,consulta de base de datos,benigna,0,0
CX089,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,57.2,57.7,10.3,130.2,intranet,benigna,0,0
CX544,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,70.6,15.6,11.6,137.6,carpeta compartida,benigna,0,0
CX286,SEG_SERVIDORES,SEG_DMZ,443,tcp,4.0,56.2,10.6,124.1,publicación de servicios,benigna,0,0
CX252,SEG_SERVIDORES,SEG_BASES,1433,tcp,74.0,26.6,11.9,74.5,consulta de base de datos,benigna,0,0
CX124,SEG_USUARIOS,SEG_DMZ,443,tcp,16.2,64.3,10.6,11.6,correo web,benigna,0,0
CX449,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,93.5,16.8,15.2,169.1,carpeta compartida,benigna,0,0
CX393,SEG_DMZ,SEG_SERVIDORES,443,tcp,57.0,41.5,10.7,76.6,retorno de servicios,benigna,0,0
CX138,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,52.9,106.8,13.7,148.0,escritorio remoto,benigna,0,0
CX567,SEG_SERVIDORES,EXTERNO,25,tcp,19.4,47.0,6.9,154.1,correo saliente,benigna,1,0
CX479,SEG_ADMIN,SEG_BASES,22,tcp,8.2,9.8,15.4,172.6,mantenimiento de base de datos,benigna,0,0
CX005,SEG_USUARIOS,EXTERNO,443,tcp,22.4,68.5,11.8,140.5,navegación web,benigna,1,0
CX515,SEG_USUARIOS,SEG_DMZ,443,tcp,72.0,117.8,11.5,77.1,correo web,benigna,0,0
CX328,SEG_SERVIDORES,EXTERNO,53,udp,54.0,51.2,10.4,135.9,consulta de nombres,benigna,1,0
CX145,SEG_BASES,SEG_SERVIDORES,1433,tcp,8.8,37.7,7.7,38.1,respuesta de base de datos,benigna,0,0
CX147,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,26.7,52.8,10.0,33.5,carpeta compartida,benigna,0,0
CX062,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,68.6,14.5,12.3,68.9,portal interno,benigna,0,0
CX471,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,8.3,25.6,12.4,20.5,portal interno,benigna,0,0
CX531,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,70.3,67.1,16.5,118.7,administración remota,benigna,0,0
CX361,SEG_SERVIDORES,EXTERNO,25,tcp,71.0,50.4,13.9,40.7,correo saliente,benigna,1,0
CX144,SEG_USUARIOS,SEG_DMZ,443,tcp,103.6,87.9,17.0,72.7,correo web,benigna,0,0
CX208,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,19.2,23.5,10.7,155.4,escritorio remoto,benigna,0,0
CX150,SEG_USUARIOS,SEG_DMZ,443,tcp,39.3,76.1,11.9,47.4,correo web,benigna,0,0
CX572,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,45.8,34.3,12.3,50.8,carpeta compartida,benigna,0,0
CX297,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,7.6,135.1,9.9,167.8,intranet,benigna,0,0
CX292,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,60.7,49.9,11.1,86.0,carpeta compartida,benigna,0,0
CX184,SEG_SERVIDORES,SEG_BASES,1433,tcp,87.0,23.9,6.0,120.6,consulta de base de datos,benigna,0,0
CX577,SEG_USUARIOS,EXTERNO,8443,tcp,38.1,56.8,13.1,160.3,herramienta de colaboración sin trámite,benigna,1,1
CX202,SEG_SERVIDORES,SEG_DMZ,443,tcp,59.3,97.3,16.0,176.9,publicación de servicios,benigna,0,0
CX110,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,3.7,96.4,14.9,30.0,intranet,benigna,0,0
CX370,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,17.4,48.9,11.3,169.6,administración remota,benigna,0,0
CX196,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,40.8,48.0,7.0,120.4,portal interno,benigna,0,0
CX305,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,64.3,168.4,14.2,124.5,intranet,benigna,0,0
CX600,SEG_SERVIDORES,SEG_BASES,3306,tcp,6.8,8.5,7.1,58.3,"migración concluida, sin uso",benigna,0,1
CX296,SEG_SERVIDORES,EXTERNO,53,udp,65.7,127.5,12.4,95.1,consulta de nombres,benigna,1,0
CX373,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,69.9,82.4,14.0,66.7,carpeta compartida,benigna,0,0
CX545,SEG_SERVIDORES,EXTERNO,53,udp,45.6,46.9,13.8,56.8,consulta de nombres,benigna,1,0
CX454,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,80.3,43.5,10.0,51.5,escritorio remoto,benigna,0,0
CX277,SEG_SERVIDORES,SEG_DMZ,443,tcp,30.4,105.5,8.2,118.8,publicación de servicios,benigna,0,0
CX441,SEG_USUARIOS,EXTERNO,443,tcp,45.8,6.5,5.3,5.5,navegación web,benigna,1,0
CX003,SEG_DMZ,EXTERNO,443,tcp,22.6,111.0,10.7,93.2,servicios publicados,benigna,1,0
CX579,SEG_USUARIOS,EXTERNO,8443,tcp,47.2,89.4,11.2,176.2,herramienta de colaboración sin trámite,benigna,1,1
CX211,SEG_DMZ,SEG_SERVIDORES,443,tcp,64.0,55.9,11.1,83.5,retorno de servicios,benigna,0,0
CX156,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,57.1,50.3,15.8,37.5,intranet,benigna,0,0
CX055,SEG_ADMIN,SEG_BASES,22,tcp,31.4,68.7,10.1,98.7,mantenimiento de base de datos,benigna,0,0
CX096,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,83.8,26.6,14.6,203.5,escritorio remoto,benigna,0,0
CX057,SEG_SERVIDORES,SEG_DMZ,443,tcp,22.3,97.9,12.0,22.3,publicación de servicios,benigna,0,0
CX596,SEG_SERVIDORES,SEG_BASES,5432,tcp,15.6,14.0,12.3,93.5,"migración concluida, sin uso",benigna,0,1
CX071,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,46.3,94.9,14.0,108.1,escritorio remoto,benigna,0,0
CX347,SEG_BASES,SEG_SERVIDORES,1433,tcp,20.2,28.9,9.2,106.2,respuesta de base de datos,benigna,0,0
CX272,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,30.9,63.4,7.4,147.3,intranet,benigna,0,0
CX435,SEG_USUARIOS,SEG_DMZ,443,tcp,36.2,91.6,14.8,26.0,correo web,benigna,0,0
CX200,SEG_SERVIDORES,SEG_BASES,1433,tcp,70.8,20.1,11.3,161.0,consulta de base de datos,benigna,0,0
CX463,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,85.5,43.5,12.9,118.4,administración remota,benigna,0,0
CX529,SEG_PAGOS,SEG_SERVIDORES,443,tcp,6.7,70.2,13.2,45.9,conciliación de pagos,benigna,0,0
CX149,SEG_USUARIOS,EXTERNO,443,tcp,21.9,29.7,10.2,66.8,navegación web,benigna,1,0
CX395,SEG_ADMIN,SEG_BASES,22,tcp,83.0,35.7,14.5,96.3,mantenimiento de base de datos,benigna,0,0
CX308,SEG_ADMIN,SEG_BASES,22,tcp,56.2,54.3,11.4,73.8,mantenimiento de base de datos,benigna,0,0
CX488,SEG_SERVIDORES,EXTERNO,53,udp,69.6,35.8,10.6,88.9,consulta de nombres,benigna,1,0
CX058,SEG_USUARIOS,SEG_DMZ,443,tcp,48.2,50.0,10.8,124.1,correo web,benigna,0,0
CX499,SEG_SERVIDORES,SEG_DMZ,443,tcp,39.0,59.7,14.3,38.7,publicación de servicios,benigna,0,0
CX054,SEG_SERVIDORES,SEG_BASES,1433,tcp,35.8,60.5,16.4,103.6,consulta de base de datos,benigna,0,0
CX192,SEG_ADMIN,SEG_BASES,22,tcp,57.9,84.4,12.9,144.8,mantenimiento de base de datos,benigna,0,0
CX465,SEG_BASES,SEG_SERVIDORES,1433,tcp,48.0,86.7,8.8,79.7,respuesta de base de datos,benigna,0,0
CX571,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,80.1,107.2,11.6,180.9,intranet,benigna,0,0
CX299,SEG_SERVIDORES,EXTERNO,53,udp,16.3,83.6,6.5,164.6,consulta de nombres,benigna,1,0
CX459,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,54.2,24.3,16.7,79.2,portal interno,benigna,0,0
CX550,SEG_BASES,SEG_SERVIDORES,1433,tcp,38.5,73.2,9.9,234.0,respuesta de base de datos,benigna,0,0
CX175,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,83.5,39.1,12.8,87.6,administración remota,benigna,0,0
CX040,SEG_DMZ,SEG_SERVIDORES,443,tcp,7.6,43.2,8.6,100.9,retorno de servicios,benigna,0,0
CX061,SEG_USUARIOS,SEG_DMZ,443,tcp,24.6,64.6,10.5,21.8,correo web,benigna,0,0
CX512,SEG_SERVIDORES,SEG_BASES,1433,tcp,43.1,66.2,13.7,43.3,consulta de base de datos,benigna,0,0
CX205,SEG_BASES,SEG_SERVIDORES,1433,tcp,25.7,65.0,16.4,147.5,respuesta de base de datos,benigna,0,0
CX130,SEG_BASES,SEG_SERVIDORES,1433,tcp,28.6,14.8,13.3,138.6,respuesta de base de datos,benigna,0,0
CX542,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,51.6,29.8,15.3,87.5,escritorio remoto,benigna,0,0
CX430,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,38.7,32.0,10.7,177.3,escritorio remoto,benigna,0,0
CX559,SEG_SERVIDORES,SEG_DMZ,443,tcp,40.2,43.1,17.4,43.7,publicación de servicios,benigna,0,0
CX045,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,37.7,26.3,16.5,155.2,administración remota,benigna,0,0
CX362,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,11.1,69.1,12.6,7.0,administración remota,benigna,0,0
CX388,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,57.0,69.6,13.4,36.9,administración remota,benigna,0,0
CX342,SEG_DMZ,SEG_SERVIDORES,443,tcp,52.4,18.2,11.8,212.0,retorno de servicios,benigna,0,0
CX576,SEG_SERVIDORES,SEG_SERVIDORES,22,tcp,109.0,105.3,10.8,107.9,administración remota,benigna,0,0
CX174,SEG_ADMIN,SEG_SERVIDORES,3389,tcp,101.2,114.5,17.2,109.6,escritorio remoto,benigna,0,0
CX241,SEG_DMZ,EXTERNO,443,tcp,38.5,133.7,10.7,77.6,servicios publicados,benigna,1,0
CX215,SEG_SERVIDORES,EXTERNO,25,tcp,9.0,46.8,13.2,94.7,correo saliente,benigna,1,0
CX523,SEG_DMZ,SEG_SERVIDORES,443,tcp,43.0,69.7,14.8,62.0,retorno de servicios,benigna,0,0
CX426,SEG_SERVIDORES,SEG_BASES,1433,tcp,21.2,43.5,9.4,71.2,consulta de base de datos,benigna,0,0
CX405,SEG_SERVIDORES,EXTERNO,53,udp,34.7,50.3,16.4,122.5,consulta de nombres,benigna,1,0
CX438,SEG_SERVIDORES,EXTERNO,53,udp,11.0,36.0,13.4,114.0,consulta de nombres,benigna,1,0
CX269,SEG_DMZ,SEG_SERVIDORES,443,tcp,52.8,8.7,10.5,68.7,retorno de servicios,benigna,0,0
CX414,SEG_BASES,SEG_SERVIDORES,1433,tcp,15.1,72.0,14.6,18.9,respuesta de base de datos,benigna,0,0
CX508,SEG_ADMIN,SEG_BASES,22,tcp,16.7,57.6,9.3,51.6,mantenimiento de base de datos,benigna,0,0
CX180,SEG_ADMIN,SEG_BASES,22,tcp,110.6,49.3,8.9,170.2,mantenimiento de base de datos,benigna,0,0
CX392,SEG_SERVIDORES,EXTERNO,53,udp,106.4,60.8,13.4,48.9,consulta de nombres,benigna,1,0
CX518,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,39.0,48.9,16.0,70.2,intranet,benigna,0,0
CX140,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,21.1,68.8,13.3,85.6,portal interno,benigna,0,0
CX010,SEG_USUARIOS,SEG_SERVIDORES,445,tcp,39.1,84.4,15.9,107.2,carpeta compartida,benigna,0,0
CX399,SEG_USUARIOS,EXTERNO,443,tcp,56.3,28.2,9.4,174.1,navegación web,benigna,1,0
CX007,SEG_SERVIDORES,EXTERNO,53,udp,33.6,85.9,7.9,90.9,consulta de nombres,benigna,1,0
CX218,SEG_USUARIOS,SEG_SERVIDORES,80,tcp,24.4,145.4,14.2,104.8,intranet,benigna,0,0
CX406,SEG_SERVIDORES,SEG_BASES,1433,tcp,60.3,63.9,11.8,75.0,consulta de base de datos,benigna,0,0
CX456,SEG_SERVIDORES,EXTERNO,53,udp,39.7,66.4,14.7,92.0,consulta de nombres,benigna,1,0
CX231,SEG_DMZ,EXTERNO,443,tcp,24.6,43.3,13.5,94.5,servicios publicados,benigna,1,0
CX348,SEG_USUARIOS,SEG_SERVIDORES,443,tcp,60.1,58.1,13.8,142.0,portal interno,benigna,0,0
